user_name,user_product,helpful,funny,post_date,recommend_or_not,game_time,review
Grey Hare,113,1,0,9/21/16,Recommended,91.4,surprise run potato laptop gt520m 1gb wish dev's optimize run smoother know much ask please add voice dialogue like first ee update aug 2017 run flawlessly gtx 1050 love new update really wish best devs finish masterpiece
Kimbo,148,0,0,9/21/16,Not Recommended,8.3,游戏可以 但是开发组无视中文请求只能给差评了
Manny Calavera,207,0,0,9/21/16,Recommended,76.5,really well polish far voice act yet party banter yet quest marker get bit confusing i've mark location map stuff time see flesh bucket helmet make joyous return right little glitchy float around ground foot make bald anyway far lot potential i'm really excite way thing go
Dralitheal,81,0,0,9/21/16,Recommended,171.5,gotta say wasnt sure would first kinda dry mean dry lack creative side first one kind strong arm human divinity case although many option available early release go first start play like gonna suck many come find case current moment play entire elf love feel look fact eat people learn past couldnt pas ability might try human next play sure yet case lot room grow know might next great kind corrctly overall cant wait play full version truly dive deep story play
The Mute Cynic,"3,225",10,2,9/21/16,Not Recommended,45.4,early access watcher review update version 165 341 disclosure copy buy reviewer participate kickstarter hear upon release steam full review http www gatewaytogaming com divinity--original-sin-ii html note remove first two paragraph due limitation gameplay footage spoiler first hour http www youtube com watch eemtem3wixk walk along shoreline within first minute clear detail environment texture quality best see foliage building detail character model great look lizard simple gorgeous armor quality appear blurry time range shimmer still render dull way character move combat another story though sport great attack animation spell animation highlight superior usage particle effect especially way pyrotechnic surface change spell take account quick note sound department music great bit bland help fill void leave lack voice-acting ambient sound decent nothing special get job do damp cave lush jungle decrepit fort render well beautifully craft set piece possible battle poorly choose word inevitably initiate possibility avoid battle high due wide selection dialog opportunity entirely avoidable everything control use action point replenish turn use certain ability movement skill added cool down item loot require point cause player either horde ap future turn desire equipment also dictate much magic armor armor go battle soak blow spell attack respectably lose health one system particular stand environmental status effect frozen stun petrified stun multiple enemy cast rain use shock ability cast hail freeze area become prone slip knock simple idea make battle even tactical much easy give surprising difficulty fight manage steamroll second playthrough exploration mode classic mode offer couple difficult fight part issue could stem extremely powerful starter ability relative health amount certain enemy one spell powerful enough power distance allow farm tough opponent without enter combat end murder everyone fort joy without die due spell find death hand final bos also allow complete first act classic hour also complete plenty side content side-stepping use particular skill feel like exploit use skill spell balancing enemy distance detection fix might much issue outside final bos tough nail plenty scenario instant death outcome challenge experience thankfully certain dialog option side-step combat introduce new story material dialog play definitive role result vary depend plenty pre-requisites certain people refuse talk lizard others provide information unless specific tag use dwarf fort joy instance react positively one party member due history share conversation item produce lore provide case example good dialog selection apparent deal slug hidden passage guard meet line persuasion also help deter tense scenario rely stat warfare stat opponent stat persuasion determine outcome dialog route add multiple way deter combat benefit roleplaying option already provide game's darker tone essentially make second playthrough time exploration mode less reliant combat finish first act five hour story time around revolves around divine dead voidwoken's number increase due use source magick sourcerer player take fort joy cure curse award stylish collar block magick shipwreck alone player awaken shore soon discovers salvation sight inside camp run devout departed lucian setting deeply trouble scenario mix unknown protagonist amidst plenty mentally scarred individual questionable authority purely basis paranoia open npcs join hopefully escape unknown consequence conform well-written include several side quest range disturb outright sicken always fan macabre setting enjoy offer far cliche point hard avoid overall struggle one greatly approve alpha bind issue creep around cellar climb vine specifically one lower someone later current character climb normally party member climb combat pause current character ap seem delay good 10-15 second move next person rotation graphical issue sneak well helmet hidden remove hair float weapon enemy clip well obvious crash plague early access game excuse course none following issue deal breaker quality life issue make experience rather annoy inventory item must drag slot order organize system could really use auto-sort feature camera stingy try zoom limited scope make move area absolutely frustrate real direction term locate next objective especially beginning last point issue actually find refresh area might require load save file rex's castle due inability leave sword pierce shoreline fort joy twice grand total 12 hour play throughs spend little time test arena mode 4p map ensure functional leave weak impression main story felt bit cliched ominous vibe surround campaign leave intrigue enough play love side quest never kiss stranger applaud colorful aesthetic contrast depressing mode without feel awkward bottom line however thin support hefty price tag essentially demo cannot recommend divinity original sin ii time larian studio successful history early access hope see second time around turn come back update review upon full release pro visually impressive great combat story decent macabre overtone great side quest con content lite crash sound asset need work
assdealing,3,1,0,9/21/16,Recommended,143.2,pretty good without chinese translation understand plot
Cute,377,5,0,9/22/16,Recommended,102.7,wow year already since play divinity original sin enhance edition two year since divinity original sin first release since early access lot miss sound also narration seem complete yet hope way really love divinity original sin really play much one aside begin area say look well first nice change well like fortify similar stoneskin old rpg game like neverwinter night personal grip elf remind na'vi avatar wish go traditional elven look personal opinion
Hightail's Online Friends,68,1,0,9/22/16,Recommended,194.7,buy day ago 40 hour one ed sleep schedule later run thing anticipate next arc greatly 10 10
Xandam,195,3,0,9/22/16,Recommended,140.5,finish available content first act zone think i'd share think divinity original sin play pretty much like first flashy graphic smoother animation bit exaggerated mean people sometimes perform frontflips get last step ladder pretty good book like first one like one however early access show never outright crash pc graphical issue issue cloth physic instance reload one example fight group magisters aid snoop paladin go expose horrible torture fetish sourcerers oil barrel explode think eh biggie i'll cast rain cast rain spell spellcaster perform interaction anything else spell attack skip turn reload happen consistantly time decide probably something broken rain spell quite polish early access i'm look forward full release december
Halfwit,"2,010",1,6,9/22/16,Not Recommended,7.1,kickstarter backer review pre alpha build love lore music graphic cant life get like combat suck maybe turn base hence cant figure mechanic plenty place dont know get end pick fight didnt want first place result certain defeat say flee combat mechanic build well able use feature even far cause everytime use get cant flee cause enemy near message ya really use oh quick save best friend use much i'm sure evolves update review mixed bag goody
