user_name,user_product,helpful,funny,post_date,recommend_or_not,game_time,review
Mercurial,266,3,0,10/6/16,Recommended,6.1,gorgeous open fantastical world action matter add beautiful soundtrack streamline combat system value forethought different approach true successor one favorite game time alpha build feel like polished fact many recent game look forward watch grow
UnrulyWind,37,0,0,10/7/16,Not Recommended,62.1,support kickstarter play alpha love full release jump prepare love bug start add stuff like annoy pop start shake even though make use steamlink royal pain finally 16 hour hit bug fane character completely lock actually teleport around map take damage repondes nothing since party way know happen go back though save apperantly bug upon reset normal wait spot remove party mean back hour walk away maybe time pick back start without ever use fane wonderful gamebreaking bug advice wait cooky fully bake might even get sale boot
Ivan Drago,126,0,0,10/7/16,Recommended,172.8,even good first graphic beautiful gameplay best ever tactical fight one minor problem can't zoom camera much sometimes confuse navigate throught world 10 10
Cioby,572,1,1,10/7/16,Recommended,65.1,story end huge island first area would've say complete good do less bug mostly aaa release know turn base rpg tactical play pace equip character way want race class restriction penalty talk anything anyone people guard ghost cat goblin dragon rock etc explore look secret area anywhere everything almost accesible graphic sweet close character look good game play config i7 4770k 0ghz g1 game 980ti 16gb ram run samsung evo 850 ssd load like 3-10 second run maximum setting 4k easily 60 fps well optimize possibility graphic downgrade unless decide make console also whatever go party character control dialogue anyone include member npc voice act yet dialogue implement sure either add voice act important character basically talk anyone find quest hint current quest develop party skill attribute way like make rogue master pickpocket lockpicking stealthy deadly make warrior leader boost every stat character customize appearance add story character trait add start companion add time actually helpful choose common trait like soldier special conversation choice certain character switch character decide who's best interact npc discover treasure teleport character remote location envirnment actually active combat character sit puddle water get shock someone target one water unless resist due magic armor resistance immunity implement new amazing system active armor absorption item armor armor add health beginning combat applies magic armor get attack spell first take damage magic armor health that's deplete applies physical attack physical armor mechanic amaze spell little dumbed example see entire grid area see exactly range area skill hit though useful racial trait class choice pretty well make compare old really impressed oh almost forget also typical humor incredible world fill life great music sound around lot choice probably influence relationship others like follower outcome many quest situation someone love strategy game old school rpgs new school rpgs amazing totally worth developers really love listen community i'm actually sad invest kickstarter add least place huge first island look 100 hour gameplay mixed tactic shuffle companion different way quest secret funny easter egg really hope continuation story great boss add alsto easy mode love gameplay suck strategy worry oh yea also play group people lan internet everyone control character
Superman3445,68,0,0,10/7/16,Recommended,0.1,pro-review-writer keep short simple also play girlfriend account see correct hour spend whoever love baldur's gate completely satisfied dos2 however stil need fix bug improve lot usability mean character-selection mess cant pick one two character nicecly without ever mislead talk instead click one character didnt recognize previous character try talk character happend like 50 time already despite need make usable baldur's gate pretty good story gameplay pretty good look forward release cause totaly buy second time
Snaz,87,6,0,10/8/16,Recommended,587,like far i've play initial content could drop custom character would way well like baldurs gate style rogue like element like item drop etc really look forward i'll still play probably repeatedly
Biggrouse,222,1,0,10/8/16,Recommended,189.9,extremely good even pretend early access current build take long beat many modern game real tactical challenge barely felt like alpha encounter text error feel polished game release 2016 there's one act current build early access it'll probably take around hour beat depend exploration difficulty good yep lie description say act 8-12 hour struggle lot early fight take 14 hour gameplay much look forward full metric ton potentinal story catch attention character building solid gameplay challenge tactical find concern go forward balance certain build playstyles especially 1h shield seem useless underpowered plenty time fix sort thing
Wally,661,0,0,10/8/16,Recommended,221.7,spent like 40 hour tooteral island
Inferiae,102,2,0,10/9/16,Recommended,175.2,divinity original sin improvement predecessor pretty much every aspect keep simple here's original do well fantastic fantastic turn-based tactical combat compel narrative handholding approach world design challenge encounter beautiful hand-crafted world sequel improve pretty much every way tweak formula race pick 5th come soon smart ai longer butch steal npc's lick window well pace combat feel well round movement punish less animation feel tighter armour mechanic mean get cc cheese lot less round despite alpha incredibly playable i've notice minor bug full first look feel free check channel https www youtube com watch mx4bum8ytue
janmi,117,0,0,10/9/16,Recommended,168.4,voiceovers much need lift immersion excellent controller support split-screen do release huge task
Peaceful Trader,136,2,3,10/9/16,Recommended,153.6,friend decide would fun play mage ranger fight start try coordinate move make comboes 5-6 turn character drown electrify cursed poisoned water teleproted friend-mage black fire stun burn curse poison wet single fight rat 11 10 would punch friend face
bcha,559,6,1,10/9/16,Recommended,136.7,divinity original sin already masterpiece usage black magic ritual possibly hard work larian ensure divinity original sin somehow even well pretty much front easily one fine rpg's ever craft possibly personal favourite time
Max J,12,0,0,10/9/16,Recommended,7.6,doubt build box fort
Brandon,69,2,0,10/10/16,Recommended,244.2,think go complete wrong fight think tactically fight different way story act impressive baldur's gate fan suggest anybody enjoy strategy rpg's
Buddah,273,2,0,10/10/16,Recommended,8,great immersive deep playful thumb
Whiteballs1987,604,5,1,10/10/16,Recommended,19.7,take original sin delete dumb thing add hard experience less bug ubisoft get gem
